IP_Address,Port_Number,File_Name,TimeStamp,File_Hash,Type
127.0.0.1,59287,send2.txt,54:10.6,7b1a9953c4611296a827abf8c47804d7,Virus File
127.0.0.1,59287,send1.txt,54:10.6,7b1a2343c4611296a827abf8c47804d7,Man In Middle File
127.0.0.1,59287,send2.txt,54:10.6,7b1a9953c4611296a827abf8c47804d7,Virus File
127.0.0.1,59287,send2.txt,54:10.6,7b1a9953c4611296a827abf8c47804d7,Virus File
127.0.0.1,59287,send3.txt,54:10.6,321a9953c4611296a827abf8c47804d7,Normal File
127.0.0.2,59288,send3.txt,54:10.6,321a9953c4611296a827abf8c47804d8,Normal File
127.0.0.8,59294,send1.txt,54:10.6,7b1a2343c4611296a827abf8c47804d7,Man In Middle File
127.0.0.9,59295,send3.txt,54:10.6,321a9953c4611296a827abf8c47804d15,Normal File
127.0.0.10,59296,send4.txt,54:10.6,321a9953c4611456u7bf8c47804d16,DOS File
127.0.0.11,59297,send3.txt,54:10.6,321a9953c4611296a827abf8c47804d17,Normal File
127.0.0.1,59287,send2.txt,54:10.6,7b1a9953c4611296a827abf8c47804d7,Virus File
127.0.0.1,59287,send2.txt,54:10.6,7b1a9953c4611296a827abf8c47804d7,Virus File
127.0.0.1,52707,send.txt,29:36.2,8b1a9953c4611296a827abf8c47804d7,Normal File
127.0.0.1,52709,send.txt,32:41.2,8b1a9953c4611296a827abf8c47804d7,Normal File
127.0.0.1,52716,send.txt,38:45.3,8b1a9953c4611296a827abf8c47804d7,Normal File
127.0.0.1,52718,send.txt,46:43.2,8b1a9953c4611296a827abf8c47804d7,Normal File
127.0.0.1,52721,send.txt,51:32.0,8b1a9953c4611296a827abf8c47804d7,Normal File
127.0.0.1,52723,send.txt,52:55.9,8b1a9953c4611296a827abf8c47804d7,Normal File
127.0.0.1,52727,Dos.exe,06:39.6,0941f84fd63206002d812476b5e1a77a,DOS File
127.0.0.1,53056,MIME.exe,25:07.0,91f0a740a54c5e44645802e17cee1daa,Man In Middle File
127.0.0.1,54075,MIME.exe,45:53.2,91f0a740a54c5e44645802e17cee1daa,Man In Middle File
127.0.0.1,55067,Normal.exe,12:16.5,19be9a044d70ab63cb0ab95b7c388b49,Normal File
127.0.0.1,62842,av2.py,41:31.5,8a9b44d5daad3f4e7d1ef538f5c6d828,
127.0.0.1,62844,av1.vbs,44:29.5,e8e1593879615e8c42dbc10b81f896f7,
127.0.0.1,62870,av1.vbs,19:19.9,e8e1593879615e8c42dbc10b81f896f7,
127.0.0.1,62872,send.txt,34:37.9,8b1a9953c4611296a827abf8c47804d7,
127.0.0.1,51597,av1.vbs,05:47.5,e8e1593879615e8c42dbc10b81f896f7,
127.0.0.1,51599,send.txt,07:17.3,8b1a9953c4611296a827abf8c47804d7,
127.0.0.1,52558,send.txt,02:40.6,8b1a9953c4611296a827abf8c47804d7,Normal File
127.0.0.1,52884,av1.vbs,36:53.7,e8e1593879615e8c42dbc10b81f896f7,Antivirus File
127.0.0.1,52888,ping.txt,41:48.8,f8402e8dd0f4817fa869d3375cadd809,DDoS Attack File
127.0.0.1,52891,av1.vbs,45:42.6,e8e1593879615e8c42dbc10b81f896f7,AV Evasion File
127.0.0.1,52894,send.txt,47:31.1,8b1a9953c4611296a827abf8c47804d7,Normal File
127.0.0.1,52901,Virus.exe,51:21.4,085f52a5fc72ac5f0b3b3a135aa63495,Virus File
127.0.0.1,52914,send.txt,58:44.1,8b1a9953c4611296a827abf8c47804d7,Normal File
127.0.0.1,52917,send.txt,01:11.6,8b1a9953c4611296a827abf8c47804d7,Normal File
127.0.0.1,52919,send.txt,02:12.5,8b1a9953c4611296a827abf8c47804d7,Normal File
127.0.0.1,52922,ping.txt,04:21.7,f8402e8dd0f4817fa869d3375cadd809,DDoS Attack File
127.0.0.1,52924,send.txt,06:07.5,8b1a9953c4611296a827abf8c47804d7,Normal File
127.0.0.1,52928,send.txt,07:15.7,8b1a9953c4611296a827abf8c47804d7,Normal File
127.0.0.1,49947,send.txt,40:12.7,8b1a9953c4611296a827abf8c47804d7,Normal File
127.0.0.1,49949,ping.txt,44:21.1,f8402e8dd0f4817fa869d3375cadd809,DDoS Attack File
